NAME                          INSTALLED                     FIXED-IN                   TYPE    VULNERABILITY        SEVERITY   
apt                           1.8.2.2                                                  deb     CVE-2011-3374        Negligible  
bash                          5.0-4                                                    deb     CVE-2019-18276       Negligible  
bash                          5.0-4                         (won't fix)                deb     CVE-2022-3715        High        
binutils                      2.31.1-16                                                deb     CVE-2017-13716       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-1000876     Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-12697       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-12698       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-12699       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-12934       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-17358       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-17359       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-17360       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-17794       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-17985       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-18309       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-18483       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-18484       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-18605       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-18606       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-18607       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-18700       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-18701       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-19931       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-19932       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-20002       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-20623       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-20651       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-20671       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-20673       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-20712       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-9138        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2018-9996        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-1010180     Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-1010204     Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-12972       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-14250       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-14444       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-17450       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-17451       Negligible  
