NAME                       INSTALLED                 FIXED-IN                  TYPE       VULNERABILITY        SEVERITY 
bash                       4.2.46-33.amzn2           4.2.46-34.amzn2           rpm        ALAS-2020-1503       Medium    
bzip2-libs                 1.0.6-13.amzn2.0.2        1.0.6-13.amzn2.0.3        rpm        ALAS-2021-1652       Low       
ca-certificates            2019.2.32-76.amzn2.0.1    2021.2.50-72.amzn2.0.1    rpm        ALAS-2021-1710       High      
cpio                       2.11-27.amzn2             2.11-28.amzn2             rpm        ALAS-2020-1505       Medium    
curl                       7.61.1-12.amzn2.0.1       7.61.1-12.amzn2.0.2       rpm        ALAS-2020-1451       Medium    
curl                       7.61.1-12.amzn2.0.1       7.61.1-12.amzn2.0.4       rpm        ALAS-2021-1653       Medium    
curl                       7.61.1-12.amzn2.0.1       7.76.1-4.amzn2.0.1        rpm        ALAS-2021-1693       Medium    
curl                       7.61.1-12.amzn2.0.1       7.76.1-7.amzn2.0.2        rpm        ALAS-2021-1700       Medium    
curl                       7.61.1-12.amzn2.0.1       7.79.1-1.amzn2.0.1        rpm        ALAS-2021-1724       Medium    
curl                       7.61.1-12.amzn2.0.1       7.79.1-2.amzn2.0.1        rpm        ALAS-2022-1792       Medium    
curl                       7.61.1-12.amzn2.0.1       7.79.1-4.amzn2.0.1        rpm        ALAS-2022-1808       Medium    
curl                       7.61.1-12.amzn2.0.1       7.79.1-6.amzn2.0.1        rpm        ALAS-2022-1875       Medium    
curl                       7.61.1-12.amzn2.0.1       7.79.1-7.amzn2.0.1        rpm        ALAS-2022-1882       Medium    
cyrus-sasl-lib             2.1.26-23.amzn2           2.1.26-24.amzn2           rpm        ALAS-2022-1758       High      
dbus                       1:1.10.24-7.amzn2         1.10.24-7.amzn2.0.2       rpm        ALAS-2022-1870       High      
dbus-libs                  1:1.10.24-7.amzn2         1.10.24-7.amzn2.0.2       rpm        ALAS-2022-1870       High      
e2fsprogs-libs             1.42.9-12.amzn2.0.2       1.42.9-19.amzn2           rpm        ALAS-2020-1509       Medium    
e2fsprogs-libs             1.42.9-12.amzn2.0.2       1.42.9-19.amzn2.0.1       rpm        ALAS-2022-1884       Medium    
expat                      2.1.0-10.amzn2.0.2        2.1.0-12.amzn2            rpm        ALAS-2020-1513       Medium    
expat                      2.1.0-10.amzn2.0.2        2.1.0-12.amzn2.0.1        rpm        ALAS-2022-1754       Medium    
expat                      2.1.0-10.amzn2.0.2        2.1.0-12.amzn2.0.2        rpm        ALAS-2022-1759       High      
expat                      2.1.0-10.amzn2.0.2        2.1.0-12.amzn2.0.3        rpm        ALAS-2022-1764       Critical  
expat                      2.1.0-10.amzn2.0.2        2.1.0-12.amzn2.0.4        rpm        ALAS-2022-1788       Medium    
expat                      2.1.0-10.amzn2.0.2        2.1.0-14.amzn2.0.1        rpm        ALAS-2022-1809       Medium    
expat                      2.1.0-10.amzn2.0.2        2.1.0-15.amzn2.0.1        rpm        ALAS-2022-1877       High      
expat                      2.1.0-10.amzn2.0.2        2.1.0-15.amzn2.0.2        rpm        ALAS-2022-1885       High      
file-libs                  5.11-35.amzn2.0.2         5.11-36.amzn2.0.1         rpm        ALAS-2020-1452       Low       
github.com/aws/aws-sdk-go  v1.31.2                   1.33.0                    go-module  GHSA-6jvc-q2x7-pchv  Medium    
glib2                      2.56.1-4.amzn2            2.56.1-7.amzn2.0.1        rpm        ALAS-2020-1553       Medium    
glib2                      2.56.1-4.amzn2            2.56.1-9.amzn2.0.1        rpm        ALAS-2021-1655       High      
glib2                      2.56.1-4.amzn2            2.56.1-9.amzn2.0.2        rpm        ALAS-2021-1711       Medium    
glibc                      2.26-34.amzn2             2.26-36.amzn2             rpm        ALAS-2020-1517       Medium    
glibc                      2.26-34.amzn2             2.26-40.amzn2             rpm        ALAS-2021-1599       High      
glibc                      2.26-34.amzn2             2.26-41.amzn2             rpm        ALAS-2021-1605       High      
glibc                      2.26-34.amzn2             2.26-42.amzn2             rpm        ALAS-2021-1615       Medium    
glibc                      2.26-34.amzn2             2.26-47.amzn2             rpm        ALAS-2021-1656       Medium    
glibc                      2.26-34.amzn2             2.26-53.amzn2             rpm        ALAS-2021-1703       Medium    
glibc                      2.26-34.amzn2             2.26-57.amzn2             rpm        ALAS-2022-1736       Low       
glibc                      2.26-34.amzn2             2.26-58.amzn2             rpm        ALAS-2022-1767       Medium    
glibc                      2.26-34.amzn2             2.26-61.amzn2             rpm        ALAS-2022-1857       Medium    
glibc                      2.26-34.amzn2             2.26-62.amzn2             rpm        ALAS-2022-1869       Medium    
glibc-common               2.26-34.amzn2             2.26-36.amzn2             rpm        ALAS-2020-1517       Medium    
glibc-common               2.26-34.amzn2             2.26-40.amzn2             rpm        ALAS-2021-1599       High      
glibc-common               2.26-34.amzn2             2.26-41.amzn2             rpm        ALAS-2021-1605       High      
glibc-common               2.26-34.amzn2             2.26-42.amzn2             rpm        ALAS-2021-1615       Medium    
glibc-common               2.26-34.amzn2             2.26-47.amzn2             rpm        ALAS-2021-1656       Medium    
glibc-common               2.26-34.amzn2             2.26-53.amzn2             rpm        ALAS-2021-1703       Medium    
glibc-common               2.26-34.amzn2             2.26-57.amzn2             rpm        ALAS-2022-1736       Low       
glibc-common               2.26-34.amzn2             2.26-58.amzn2             rpm        ALAS-2022-1767       Medium    
glibc-common               2.26-34.amzn2             2.26-61.amzn2             rpm        ALAS-2022-1857       Medium    
glibc-common               2.26-34.amzn2             2.26-62.amzn2             rpm        ALAS-2022-1869       Medium    
glibc-langpack-en          2.26-34.amzn2             2.26-36.amzn2             rpm        ALAS-2020-1517       Medium    
glibc-langpack-en          2.26-34.amzn2             2.26-40.amzn2             rpm        ALAS-2021-1599       High      
glibc-langpack-en          2.26-34.amzn2             2.26-41.amzn2             rpm        ALAS-2021-1605       High      
glibc-langpack-en          2.26-34.amzn2             2.26-42.amzn2             rpm        ALAS-2021-1615       Medium    
glibc-langpack-en          2.26-34.amzn2             2.26-47.amzn2             rpm        ALAS-2021-1656       Medium    
glibc-langpack-en          2.26-34.amzn2             2.26-53.amzn2             rpm        ALAS-2021-1703       Medium    
glibc-langpack-en          2.26-34.amzn2             2.26-57.amzn2             rpm        ALAS-2022-1736       Low       
