NAME                    INSTALLED                 FIXED-IN                  TYPE  VULNERABILITY   SEVERITY 
curl                    7.79.1-4.amzn2.0.1        7.79.1-6.amzn2.0.1        rpm   ALAS-2022-1875  Medium    
curl                    7.79.1-4.amzn2.0.1        7.79.1-7.amzn2.0.1        rpm   ALAS-2022-1882  Medium    
expat                   2.1.0-14.amzn2.0.1        2.1.0-15.amzn2.0.1        rpm   ALAS-2022-1877  High      
expat                   2.1.0-14.amzn2.0.1        2.1.0-15.amzn2.0.2        rpm   ALAS-2022-1885  High      
glibc                   2.26-60.amzn2             2.26-61.amzn2             rpm   ALAS-2022-1857  Medium    
glibc                   2.26-60.amzn2             2.26-62.amzn2             rpm   ALAS-2022-1869  Medium    
glibc-common            2.26-60.amzn2             2.26-61.amzn2             rpm   ALAS-2022-1857  Medium    
glibc-common            2.26-60.amzn2             2.26-62.amzn2             rpm   ALAS-2022-1869  Medium    
glibc-langpack-en       2.26-60.amzn2             2.26-61.amzn2             rpm   ALAS-2022-1857  Medium    
glibc-langpack-en       2.26-60.amzn2             2.26-62.amzn2             rpm   ALAS-2022-1869  Medium    
glibc-minimal-langpack  2.26-60.amzn2             2.26-61.amzn2             rpm   ALAS-2022-1857  Medium    
glibc-minimal-langpack  2.26-60.amzn2             2.26-62.amzn2             rpm   ALAS-2022-1869  Medium    
krb5-libs               1.15.1-37.amzn2.2.4       1.15.1-55.amzn2.2.5       rpm   ALAS-2023-1915  High      
libblkid                2.30.2-2.amzn2.0.7        2.30.2-2.amzn2.0.10       rpm   ALAS-2022-1901  Medium    
libblkid                2.30.2-2.amzn2.0.7        2.30.2-2.amzn2.0.9        rpm   ALAS-2022-1878  Medium    
libcom_err              1.42.9-19.amzn2           1.42.9-19.amzn2.0.1       rpm   ALAS-2022-1884  Medium    
libcrypt                2.26-60.amzn2             2.26-61.amzn2             rpm   ALAS-2022-1857  Medium    
libcrypt                2.26-60.amzn2             2.26-62.amzn2             rpm   ALAS-2022-1869  Medium    
libcurl                 7.79.1-4.amzn2.0.1        7.79.1-6.amzn2.0.1        rpm   ALAS-2022-1875  Medium    
libcurl                 7.79.1-4.amzn2.0.1        7.79.1-7.amzn2.0.1        rpm   ALAS-2022-1882  Medium    
libmount                2.30.2-2.amzn2.0.7        2.30.2-2.amzn2.0.10       rpm   ALAS-2022-1901  Medium    
libmount                2.30.2-2.amzn2.0.7        2.30.2-2.amzn2.0.9        rpm   ALAS-2022-1878  Medium    
libtasn1                4.10-1.amzn2.0.2          4.10-1.amzn2.0.3          rpm   ALAS-2023-1908  High      
libuuid                 2.30.2-2.amzn2.0.7        2.30.2-2.amzn2.0.10       rpm   ALAS-2022-1901  Medium    
libuuid                 2.30.2-2.amzn2.0.7        2.30.2-2.amzn2.0.9        rpm   ALAS-2022-1878  Medium    
libxml2                 2.9.1-6.amzn2.5.5         2.9.1-6.amzn2.5.6         rpm   ALAS-2022-1848  Medium    
ncurses                 6.0-8.20170212.amzn2.1.3  6.0-8.20170212.amzn2.1.4  rpm   ALAS-2022-1893  Medium    
ncurses-base            6.0-8.20170212.amzn2.1.3  6.0-8.20170212.amzn2.1.4  rpm   ALAS-2022-1893  Medium    
ncurses-libs            6.0-8.20170212.amzn2.1.3  6.0-8.20170212.amzn2.1.4  rpm   ALAS-2022-1893  Medium    
sqlite                  3.7.17-8.amzn2.1.1        3.7.17-8.amzn2.1.2        rpm   ALAS-2023-1911  High      
vim-data                2:8.2.5172-1.amzn2.0.1    9.0.1006-1.amzn2.0.1      rpm   ALAS-2023-1912  Medium    
vim-data                2:8.2.5172-1.amzn2.0.1    9.0.475-1.amzn2.0.1       rpm   ALAS-2022-1868  Low       
vim-data                2:8.2.5172-1.amzn2.0.1    9.0.828-1.amzn2.0.1       rpm   ALAS-2022-1902  High      
vim-minimal             2:8.2.5172-1.amzn2.0.1    9.0.1006-1.amzn2.0.1      rpm   ALAS-2023-1912  Medium    
vim-minimal             2:8.2.5172-1.amzn2.0.1    9.0.475-1.amzn2.0.1       rpm   ALAS-2022-1868  Low       
vim-minimal             2:8.2.5172-1.amzn2.0.1    9.0.828-1.amzn2.0.1       rpm   ALAS-2022-1902  High      
zlib                    1.2.7-19.amzn2.0.1        1.2.7-19.amzn2.0.2        rpm   ALAS-2022-1849  Medium    
