NAME                         INSTALLED                FIXED-IN                  TYPE          VULNERABILITY        SEVERITY 
audit-libs                   2.8.5-4.el7              (won't fix)               rpm           CVE-2015-5186        Medium    
bash                         4.2.46-35.el7_9          (won't fix)               rpm           CVE-2012-6711        Medium    
bash                         4.2.46-35.el7_9          (won't fix)               rpm           CVE-2019-18276       Low       
bind-license                 32:9.11.4-26.P2.el7_9.8                            rpm           CVE-2022-3094        Medium    
bind-license                 32:9.11.4-26.P2.el7_9.8  (won't fix)               rpm           CVE-2013-5661        Low       
bind-license                 32:9.11.4-26.P2.el7_9.8  (won't fix)               rpm           CVE-2016-6170        Low       
bind-license                 32:9.11.4-26.P2.el7_9.8  32:9.11.4-26.P2.el7_9.10  rpm           CVE-2022-38177       High      
bind-license                 32:9.11.4-26.P2.el7_9.8  32:9.11.4-26.P2.el7_9.10  rpm           CVE-2022-38178       High      
bind-license                 32:9.11.4-26.P2.el7_9.8  32:9.11.4-26.P2.el7_9.13  rpm           CVE-2021-25220       Medium    
bind-license                 32:9.11.4-26.P2.el7_9.8  32:9.11.4-26.P2.el7_9.13  rpm           CVE-2022-2795        Medium    
binutils                     2.27-44.base.el7_9.1                               rpm           CVE-2014-9939        Low       
binutils                     2.27-44.base.el7_9.1                               rpm           CVE-2019-17450       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2015-8538        Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2016-2226        Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2016-4487        Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2016-4488        Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2016-4489        Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2016-4490        Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2016-4491        Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2016-4492        Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2016-4493        Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-12449       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-12451       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-12452       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-12453       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-12454       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-12455       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-12456       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-12457       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-12458       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-12799       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-12967       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-13710       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-13716       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-13757       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14128       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14129       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14130       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14529       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14729       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14745       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14930       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14932       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14933       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14934       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14938       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14939       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14940       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-14974       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-15020       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-15021       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-15022       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-15023       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-15024       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-15025       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-15225       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-15938       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-15939       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-15996       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-16826       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-16827       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-16828       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-16829       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-16830       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-16831       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-16832       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-17080       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-17121       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-17122       Low       
binutils                     2.27-44.base.el7_9.1     (won't fix)               rpm           CVE-2017-17123       Low       
